Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {5,7,24,33,35,44,59} accuracy is 84.6%
Using feature(s) {5,7,24,34,35,44,59} accuracy is 85.3%
Using feature(s) {5,7,24,35,36,44,59} accuracy is 85.8%
Using feature(s) {5,7,24,35,37,44,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,38,44,59} accuracy is 85.0%
Using feature(s) {5,7,24,35,39,44,59} accuracy is 84.3%
Using feature(s) {5,7,24,35,40,44,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,41,44,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,42,44,59} accuracy is 83.8%
Using feature(s) {5,7,24,35,43,44,59} accuracy is 84.0%
Using feature(s) {5,7,24,35,44,45,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,44,46,59} accuracy is 85.4%
Using feature(s) {5,7,24,35,44,47,59} accuracy is 85.1%
Using feature(s) {5,7,24,35,44,48,59} accuracy is 84.0%
Using feature(s) {5,7,24,35,44,49,59} accuracy is 84.5%
Using feature(s) {5,7,24,35,44,50,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,44,51,59} accuracy is 84.7%
Using feature(s) {5,7,24,35,44,52,59} accuracy is 84.4%
Using feature(s) {5,7,24,35,44,53,59} accuracy is 85.6%
Using feature(s) {5,7,24,35,44,54,59} accuracy is 84.9%
Using feature(s) {5,7,24,35,44,55,59} accuracy is 83.9%
Using feature(s) {5,7,24,35,44,56,59} accuracy is 85.0%
Using feature(s) {5,7,24,35,44,57,59} accuracy is 84.8%
Using feature(s) {5,7,24,35,44,58,59} accuracy is 85.7%
Using feature(s) {5,7,24,35,44,59,60} accuracy is 85.5%
Using feature(s) {5,7,24,35,44,59,61} accuracy is 85.4%
Using feature(s) {5,7,24,35,44,59,62} accuracy is 85.0%
Using feature(s) {5,7,24,35,44,59,63} accuracy is 84.9%
Using feature(s) {5,7,24,35,44,59,64} accuracy is 84.9%

Feature set {5,7,24,25,35,44,59} was best, accuracy is 86.7%

Using feature(s) {1,5,7,24,25,35,44,59} accuracy is 82.5%
Using feature(s) {2,5,7,24,25,35,44,59} accuracy is 82.3%
Using feature(s) {3,5,7,24,25,35,44,59} accuracy is 83.3%
Using feature(s) {4,5,7,24,25,35,44,59} accuracy is 83.0%
Using feature(s) {5,6,7,24,25,35,44,59} accuracy is 83.7%
Using feature(s) {5,7,8,24,25,35,44,59} accuracy is 83.2%
Using feature(s) {5,7,9,24,25,35,44,59} accuracy is 82.7%
Using feature(s) {5,7,10,24,25,35,44,59} accuracy is 82.4%
Using feature(s) {5,7,11,24,25,35,44,59} accuracy is 83.1%
Using feature(s) {5,7,12,24,25,35,44,59} accuracy is 83.5%
Using feature(s) {5,7,13,24,25,35,44,59} accuracy is 83.0%
Using feature(s) {5,7,14,24,25,35,44,59} accuracy is 83.7%
Using feature(s) {5,7,15,24,25,35,44,59} accuracy is 83.5%
Using feature(s) {5,7,16,24,25,35,44,59} accuracy is 84.4%
Using feature(s) {5,7,17,24,25,35,44,59} accuracy is 83.3%
Using feature(s) {5,7,18,24,25,35,44,59} accuracy is 81.9%
Using feature(s) {5,7,19,24,25,35,44,59} accuracy is 82.9%
Using feature(s) {5,7,20,24,25,35,44,59} accuracy is 82.9%
